,0
0,0.009765625
1,-0.111328125
2,-0.0771484375
3,-0.0166015625
4,-0.029296875
5,-0.453125
6,-0.0849609375
7,0.0
8,-0.041015625
9,-0.171875
10,-0.05859375
11,0.0205078125
12,-0.02734375
13,-0.140625
14,0.005859375
15,0.0859375
16,0.0361328125
17,-0.0849609375
18,-0.0380859375
19,0.0419921875
20,-0.0087890625
21,-0.1484375
22,0.0
23,0.0810546875
24,0.0302734375
25,-0.103515625
26,-0.0478515625
27,0.03125
28,-0.0166015625
29,-0.1572265625
30,-0.048828125
31,0.03125
32,-0.0166015625
33,-0.140625
34,-0.033203125
35,0.0439453125
36,-0.0087890625
37,-0.1513671875
38,0.0
39,0.0791015625
40,0.0283203125
41,-0.1328125
42,-0.0791015625
43,0.0048828125
44,-0.0380859375
45,-0.16015625
46,-0.0068359375
47,0.0830078125
48,0.0302734375
49,-0.0947265625
50,0.046875
51,0.125
52,0.0625
53,-0.14453125
54,-0.0859375
55,0.0029296875
56,-0.0380859375
57,-0.16796875
58,-0.0556640625
59,0.0283203125
60,-0.01953125
61,-0.1259765625
62,-0.0146484375
63,0.060546875
64,0.0068359375
65,-0.1337890625
66,0.0146484375
67,0.0947265625
68,0.0390625
69,-0.1220703125
70,-0.0673828125
71,0.0146484375
72,-0.0302734375
73,-0.154296875
74,-0.0029296875
75,0.0859375
76,0.0341796875
77,-0.0859375
78,0.0546875
79,0.130859375
80,0.0693359375
81,-0.1357421875
82,-0.076171875
83,0.01171875
84,-0.033203125
85,-0.1630859375
86,-0.0498046875
87,0.0341796875
88,-0.0146484375
89,-0.1220703125
90,-0.0126953125
91,0.0654296875
92,0.0078125
93,-0.1318359375
94,0.015625
95,0.09765625
96,0.0400390625
97,-0.123046875
98,-0.0693359375
99,0.0166015625
100,-0.03125
101,-0.1552734375
102,-0.001953125
103,0.087890625
104,0.033203125
105,-0.08984375
106,0.0517578125
107,0.130859375
108,0.0673828125
109,-0.138671875
110,-0.078125
111,0.0087890625
112,-0.033203125
113,-0.1650390625
114,-0.0478515625
115,0.03515625
116,-0.015625
117,-0.123046875
118,-0.0126953125
119,0.0673828125
120,0.0068359375
121,-0.130859375
122,0.017578125
123,0.099609375
124,0.0419921875
125,-0.119140625
126,-0.06640625
127,0.0166015625
128,-0.0283203125
129,-0.1513671875
130,0.0
131,0.0908203125
132,0.0361328125
133,-0.087890625
134,0.0546875
135,0.1298828125
136,0.0703125
137,-0.138671875
138,-0.080078125
139,0.01171875
140,-0.0341796875
141,-0.1630859375
142,-0.0478515625
143,0.03515625
144,-0.015625
145,-0.1201171875
146,-0.0126953125
147,0.0673828125
148,0.0087890625
149,-0.126953125
150,0.0185546875
151,0.09765625
152,0.0439453125
153,-0.1220703125
154,-0.064453125
155,0.0166015625
156,-0.02734375
157,-0.14453125
158,0.0078125
159,0.0927734375
160,0.0419921875
161,-0.091796875
162,0.0478515625
163,0.1279296875
164,0.0654296875
165,-0.146484375
166,-0.0869140625
167,0.00390625
168,-0.03515625
169,-0.166015625
170,-0.052734375
171,0.0322265625
172,-0.0146484375
173,-0.12109375
174,-0.01171875
175,0.06640625
176,0.009765625
177,-0.1279296875
178,0.0205078125
179,0.0986328125
180,0.0458984375
181,-0.1181640625
182,-0.0654296875
183,0.0146484375
184,-0.0263671875
185,-0.1416015625
186,0.0087890625
187,0.0966796875
188,0.04296875
189,-0.0625
190,0.07421875
191,0.1494140625
192,0.0830078125
193,-0.10546875
194,-0.048828125
195,0.0341796875
196,-0.0126953125
197,-0.2099609375
198,-0.1162109375
199,-0.0234375
200,-0.052734375
201,-0.1826171875
202,-0.0693359375
203,0.015625
204,-0.0244140625
205,-0.1630859375
206,-0.048828125
207,0.02734375
208,-0.0146484375
209,-0.15234375
210,-0.0009765625
211,0.0791015625
212,0.0361328125
213,-0.0849609375
214,-0.04296875
215,0.0400390625
216,-0.0029296875
217,-0.1123046875
218,0.029296875
219,0.109375
220,0.05859375
221,-0.078125
222,-0.01171875
223,0.0595703125
224,0.0087890625
225,-0.259765625
226,-0.162109375
227,-0.0576171875
228,-0.0751953125
229,-0.2099609375
230,-0.0869140625
231,0.0009765625
232,-0.0322265625
233,-0.1533203125
234,-0.0400390625
235,0.0400390625
236,-0.0029296875
237,-0.142578125
238,0.0068359375
239,0.08984375
240,0.0419921875
241,-0.1220703125
242,-0.076171875
243,0.0078125
244,-0.02734375
245,-0.134765625
246,0.0146484375
247,0.0986328125
248,0.05078125
249,-0.0634765625
250,0.07421875
251,0.146484375
252,0.0869140625
253,-0.11328125
254,-0.0556640625
255,0.0263671875
256,-0.0126953125
257,-0.142578125
258,-0.03125
259,0.0478515625
260,0.0009765625
261,-0.10546875
262,0.0029296875
263,0.0791015625
264,0.0224609375
265,-0.1123046875
266,0.0302734375
267,0.109375
268,0.0556640625
269,-0.1064453125
270,-0.056640625
271,0.0234375
272,-0.015625
273,-0.130859375
274,0.017578125
275,0.10546875
276,0.05078125
277,-0.0634765625
278,0.07421875
279,0.1484375
280,0.0849609375
281,-0.11328125
282,-0.056640625
283,0.0283203125
284,-0.0146484375
285,-0.1435546875
286,-0.0341796875
287,0.046875
288,-0.001953125
289,-0.1103515625
290,-0.001953125
291,0.076171875
292,0.01953125
293,-0.1171875
294,0.0283203125
295,0.1064453125
296,0.0537109375
297,-0.111328125
298,-0.0625
299,0.0205078125
300,-0.021484375
301,-0.1337890625
302,0.015625
303,0.1025390625
304,0.0498046875
305,-0.068359375
306,0.0703125
307,0.1455078125
308,0.0830078125
309,-0.1162109375
310,-0.060546875
311,0.025390625
312,-0.017578125
313,-0.1494140625
314,-0.0361328125
315,0.0439453125
316,-0.0029296875
317,-0.111328125
318,-0.0029296875
319,0.07421875
320,0.0205078125
321,-0.1171875
322,0.0283203125
323,0.107421875
324,0.0517578125
325,-0.1083984375
326,-0.0595703125
327,0.0244140625
328,-0.01953125
329,-0.134765625
330,0.0146484375
331,0.103515625
332,0.0478515625
333,-0.07421875
334,0.0673828125
335,0.142578125
336,0.080078125
337,-0.125
338,-0.0634765625
339,0.021484375
340,-0.0224609375
341,-0.1533203125
342,-0.0390625
343,0.0439453125
344,-0.0078125
345,-0.1142578125
346,-0.0048828125
347,0.07421875
348,0.0146484375
349,-0.1201171875
350,0.025390625
351,0.1064453125
352,0.0498046875
353,-0.1103515625
354,-0.0625
355,0.0224609375
356,-0.0205078125
357,-0.134765625
358,0.0146484375
359,0.1015625
360,0.0478515625
361,-0.0830078125
362,0.056640625
363,0.1337890625
364,0.07421875
365,-0.13671875
366,-0.076171875
367,0.01171875
368,-0.02734375
369,-0.1572265625
370,-0.0439453125
371,0.0400390625
372,-0.009765625
373,-0.1142578125
374,-0.00390625
375,0.07421875
376,0.0166015625
377,-0.119140625
378,0.02734375
379,0.107421875
380,0.05078125
381,-0.1142578125
382,-0.0654296875
383,0.0205078125
384,-0.0234375
385,-0.1396484375
386,0.0126953125
387,0.103515625
388,0.046875
389,-0.0615234375
390,0.078125
391,0.1533203125
392,0.0859375
393,-0.103515625
394,-0.0458984375
395,0.0419921875
396,-0.0107421875
397,-0.2041015625
398,-0.111328125
399,-0.01171875
400,-0.0498046875
401,-0.1787109375
402,-0.0634765625
403,0.0244140625
404,-0.0205078125
405,-0.1591796875
406,-0.0419921875
407,0.0400390625
408,-0.009765625
409,-0.1357421875
410,0.0185546875
411,0.1064453125
412,0.0498046875
413,-0.076171875
414,-0.03125
415,0.0576171875
416,0.0029296875
417,-0.134765625
418,0.017578125
419,0.1044921875
420,0.0498046875
421,-0.0869140625
422,-0.03125
423,0.0517578125
424,0.0
425,-0.1435546875
426,-0.03125
427,0.0517578125
428,0.0009765625
429,-0.1240234375
430,-0.01171875
431,0.06640625
432,0.0107421875
433,-0.1318359375
434,0.0205078125
435,0.1005859375
436,0.0478515625
437,-0.1162109375
438,-0.05859375
439,0.0244140625
440,-0.021484375
441,-0.1376953125
442,0.0146484375
443,0.1064453125
444,0.0498046875
445,-0.07421875
446,0.0673828125
447,0.14453125
448,0.0810546875
449,-0.125
450,-0.0654296875
451,0.0224609375
452,-0.0205078125
453,-0.1513671875
454,-0.0380859375
455,0.0439453125
456,-0.00390625
457,-0.1123046875
458,-0.0009765625
459,0.0771484375
460,0.0185546875
461,-0.1201171875
462,0.0263671875
463,0.109375
464,0.052734375
465,-0.109375
466,-0.0537109375
467,0.029296875
468,-0.01953125
469,-0.1328125
470,0.0166015625
471,0.107421875
472,0.048828125
473,-0.072265625
474,0.0693359375
475,0.146484375
476,0.08203125
477,-0.123046875
478,-0.064453125
479,0.0234375
480,-0.021484375
481,-0.1513671875
482,-0.0380859375
483,0.04296875
484,-0.0048828125
485,-0.1123046875
486,-0.0029296875
487,0.0732421875
488,0.017578125
489,-0.1201171875
490,0.0263671875
491,0.1064453125
492,0.0517578125
493,-0.1103515625
494,-0.0537109375
495,0.02734375
496,-0.0185546875
497,-0.1396484375
498,0.0146484375
499,0.103515625
500,0.0498046875
501,-0.07421875
502,0.0673828125
503,0.1435546875
504,0.08203125
505,-0.125
506,-0.0654296875
507,0.021484375
508,-0.0205078125
509,-0.1513671875
510,-0.0390625
511,0.04296875
512,-0.0048828125
513,-0.11328125
514,-0.001953125
515,0.0751953125
516,0.0185546875
517,-0.1181640625
518,0.0263671875
519,0.103515625
520,0.0517578125
521,-0.109375
522,-0.052734375
523,0.0244140625
524,-0.017578125
525,-0.13671875
526,0.0146484375
527,0.1005859375
528,0.0478515625
529,-0.0771484375
530,0.0654296875
531,0.140625
532,0.078125
533,-0.1279296875
534,-0.0693359375
535,0.0205078125
536,-0.0234375
537,-0.1533203125
538,-0.0419921875
539,0.04296875
540,-0.005859375
541,-0.11328125
542,-0.0029296875
543,0.0732421875
544,0.017578125
545,-0.12109375
546,0.02734375
547,0.10546875
548,0.0517578125
549,-0.1123046875
550,-0.05078125
551,0.02734375
552,-0.017578125
553,-0.1376953125
554,0.0126953125
555,0.1005859375
556,0.0478515625
557,-0.0859375
558,0.0537109375
559,0.1318359375
560,0.0712890625
561,-0.1435546875
562,-0.0830078125
563,0.0078125
564,-0.033203125
565,-0.16015625
566,-0.0458984375
567,0.037109375
568,-0.009765625
569,-0.1171875
570,-0.0068359375
571,0.0732421875
572,0.0166015625
573,-0.1201171875
574,0.0263671875
575,0.10546875
576,0.0498046875
577,-0.1123046875
578,-0.0537109375
579,0.0263671875
580,-0.0185546875
581,-0.138671875
582,0.0107421875
583,0.1005859375
584,0.046875
585,-0.0791015625
586,0.0615234375
587,0.1376953125
588,0.076171875
589,-0.1357421875
590,-0.0732421875
591,0.013671875
592,-0.025390625
593,-0.15625
594,-0.0419921875
595,0.041015625
596,-0.0068359375
597,-0.1142578125
598,-0.00390625
599,0.0732421875
600,0.015625
601,-0.1201171875
602,0.0263671875
603,0.1064453125
604,0.0517578125
605,-0.1142578125
606,-0.0712890625
607,0.0166015625
608,-0.0234375
609,-0.1416015625
610,0.0087890625
611,0.0986328125
612,0.044921875
613,-0.0654296875
614,0.076171875
615,0.150390625
616,0.0849609375
617,-0.1064453125
618,-0.0478515625
619,0.037109375
620,-0.009765625
621,-0.197265625
622,-0.1064453125
623,-0.0107421875
624,-0.044921875
625,-0.1787109375
626,-0.064453125
627,0.0244140625
628,-0.01953125
629,-0.158203125
630,-0.044921875
631,0.0380859375
632,-0.0087890625
633,-0.1533203125
634,0.0029296875
635,0.0859375
636,0.037109375
637,-0.083984375
638,-0.0390625
639,0.0478515625
640,0.0009765625
641,-0.109375
642,0.0380859375
643,0.1220703125
644,0.0634765625
645,-0.078125
646,-0.0107421875
647,0.064453125
648,0.0107421875
649,-0.259765625
650,-0.162109375
651,-0.0537109375
652,-0.07421875
653,-0.2060546875
654,-0.083984375
655,0.0087890625
656,-0.0283203125
657,-0.150390625
658,-0.033203125
659,0.0498046875
660,0.0
661,-0.1416015625
662,0.0126953125
663,0.0966796875
664,0.044921875
665,-0.119140625
666,-0.0703125
667,0.0166015625
668,-0.021484375
669,-0.1328125
670,0.01953125
671,0.1103515625
672,0.0556640625
673,-0.0625
674,0.078125
675,0.1552734375
676,0.0908203125
677,-0.109375
678,-0.0517578125
679,0.033203125
680,-0.0107421875
681,-0.1416015625
682,-0.029296875
683,0.0517578125
684,0.0048828125
685,-0.1015625
686,0.005859375
687,0.08203125
688,0.0283203125
689,-0.1083984375
690,0.03515625
691,0.1123046875
692,0.0615234375
693,-0.103515625
694,-0.0546875
695,0.02734375
696,-0.0126953125
697,-0.126953125
698,0.021484375
699,0.107421875
700,0.056640625
701,-0.05859375
702,0.0791015625
703,0.150390625
704,0.0908203125
705,-0.1083984375
706,-0.05078125
707,0.0302734375
708,-0.0107421875
709,-0.1396484375
710,-0.0283203125
711,0.048828125
712,0.0029296875
713,-0.1005859375
714,0.0029296875
715,0.078125
716,0.025390625
717,-0.109375
718,0.0322265625
719,0.1103515625
720,0.0576171875
721,-0.10546875
722,-0.0595703125
723,0.0234375
724,-0.0166015625
725,-0.130859375
726,0.0185546875
727,0.103515625
728,0.0546875
729,-0.0625
730,0.0751953125
731,0.146484375
732,0.0869140625
733,-0.11328125
734,-0.0546875
735,0.025390625
736,-0.01171875
737,-0.1416015625
738,-0.0322265625
739,0.0478515625
740,0.0
741,-0.10546875
742,0.001953125
743,0.0751953125
744,0.0224609375
745,-0.1142578125
746,0.0302734375
747,0.107421875
748,0.0556640625
749,-0.1083984375
750,-0.05859375
751,0.0205078125
752,-0.0166015625
753,-0.1328125
754,0.017578125
755,0.1025390625
756,0.052734375
757,-0.0693359375
758,0.0693359375
759,0.1435546875
760,0.0830078125
761,-0.1201171875
762,-0.0625
763,0.0224609375
764,-0.01953125
765,-0.146484375
766,-0.0361328125
767,0.0439453125
768,-0.001953125
769,-0.107421875
770,-0.001953125
771,0.07421875
772,0.01953125
773,-0.1162109375
774,0.0283203125
775,0.1044921875
776,0.0537109375
777,-0.1123046875
778,-0.0615234375
779,0.0205078125
780,-0.017578125
781,-0.134765625
782,0.015625
783,0.1015625
784,0.0498046875
785,-0.0771484375
786,0.0634765625
787,0.1376953125
788,0.078125
789,-0.1298828125
790,-0.0712890625
791,0.0166015625
792,-0.0234375
793,-0.15234375
794,-0.0400390625
795,0.0400390625
796,-0.0048828125
797,-0.1103515625
798,-0.001953125
799,0.0732421875
800,0.01953125
801,-0.1171875
802,0.03125
803,0.1083984375
804,0.0537109375
805,-0.1103515625
806,-0.064453125
807,0.0185546875
808,-0.0205078125
809,-0.13671875
810,0.013671875
811,0.099609375
812,0.048828125
813,-0.056640625
814,0.0791015625
815,0.15234375
816,0.08984375
817,-0.1005859375
818,-0.0419921875
819,0.0390625
820,-0.0078125
821,-0.1953125
822,-0.107421875
823,-0.013671875
824,-0.04296875
825,-0.1708984375
826,-0.05078125
827,0.03125
828,-0.0146484375
829,-0.1552734375
830,-0.041015625
831,0.0380859375
832,-0.0087890625
833,-0.1220703125
834,0.0234375
835,0.1064453125
836,0.0546875
837,-0.0625
838,-0.01953125
839,0.0625
840,0.0126953125
841,-0.1201171875
842,0.02734375
843,0.1064453125
844,0.056640625
845,-0.03125
846,0.1015625
847,0.171875
848,0.1064453125
849,-0.0341796875
850,0.01953125
851,0.0888671875
852,0.03125
853,-0.1123046875
854,-0.0107421875
855,0.0634765625
856,0.0126953125
857,-0.1123046875
858,-0.009765625
859,0.0634765625
860,0.0126953125
861,-0.1298828125
862,0.013671875
863,0.091796875
864,0.0439453125
865,-0.1220703125
866,-0.0751953125
867,0.009765625
868,-0.0263671875
869,-0.1474609375
870,0.0029296875
871,0.0888671875
872,0.04296875
873,-0.0771484375
874,0.060546875
875,0.1337890625
876,0.078125
877,-0.126953125
878,-0.068359375
879,0.0185546875
880,-0.0224609375
881,-0.1513671875
882,-0.0400390625
883,0.0419921875
884,-0.005859375
885,-0.111328125
886,-0.00390625
887,0.0712890625
888,0.017578125
889,-0.1181640625
890,0.02734375
891,0.1025390625
892,0.052734375
893,-0.11328125
894,-0.0654296875
895,0.013671875
896,-0.021484375
897,-0.1435546875
898,0.005859375
899,0.09375
900,0.044921875
901,-0.0732421875
902,0.0654296875
903,0.1396484375
904,0.078125
905,-0.1240234375
906,-0.0673828125
907,0.0205078125
908,-0.0234375
909,-0.1513671875
910,-0.0390625
911,0.041015625
912,-0.005859375
913,-0.1123046875
914,-0.0029296875
915,0.0732421875
916,0.0185546875
917,-0.1201171875
918,0.025390625
919,0.1044921875
920,0.05078125
921,-0.1142578125
922,-0.0693359375
923,0.015625
924,-0.0224609375
925,-0.142578125
926,0.0068359375
927,0.0947265625
928,0.0439453125
929,-0.0732421875
930,0.0673828125
931,0.142578125
932,0.078125
933,-0.1240234375
934,-0.0634765625
935,0.0205078125
936,-0.01953125
937,-0.1513671875
938,-0.0380859375
939,0.04296875
940,-0.005859375
941,-0.1123046875
942,-0.0009765625
943,0.0751953125
944,0.0166015625
945,-0.1181640625
946,0.02734375
947,0.1083984375
948,0.0517578125
949,-0.109375
950,-0.0712890625
951,0.017578125
952,-0.0234375
953,-0.1376953125
954,0.0107421875
955,0.0986328125
956,0.046875
957,-0.0654296875
958,0.0751953125
959,0.150390625
960,0.0859375
961,-0.1044921875
962,-0.0458984375
963,0.0380859375
964,-0.0087890625
965,-0.2001953125
966,-0.103515625
967,-0.009765625
968,-0.046875
969,-0.1865234375
970,-0.06640625
971,0.0224609375
972,-0.0244140625
973,-0.158203125
974,-0.041015625
975,0.0419921875
976,-0.01171875
977,-0.146484375
978,0.0087890625
979,0.091796875
980,0.0380859375
981,-0.08203125
982,-0.037109375
983,0.0478515625
984,0.0009765625
985,-0.1162109375
986,0.03515625
987,0.1181640625
988,0.0615234375
989,-0.046875
990,0.08984375
991,0.1650390625
992,0.0966796875
993,-0.107421875
994,-0.05078125
995,0.0361328125
996,-0.013671875
997,-0.15234375
998,-0.0419921875
999,0.0419921875
1000,-0.005859375
1001,-0.130859375
1002,-0.0205078125
1003,0.05859375
1004,0.0048828125
