,0,1,2,3,4,5,6,7,8,9
0,0.0234375,0.0234375,0.0234375,0.021484375,0.0234375,0.0234375,0.020507813,0.021484375,0.021484375,0.022460938
1,-0.08984375,-0.088867188,-0.092773438,-0.096679688,-0.08984375,-0.092773438,-0.095703125,-0.092773438,-0.095703125,-0.090820313
2,-0.056640625,-0.0546875,-0.05859375,-0.059570313,-0.056640625,-0.059570313,-0.060546875,-0.055664063,-0.060546875,-0.055664063
3,-0.000976563,-0.002929688,-0.004882813,-0.0078125,-0.00390625,-0.004882813,-0.006835938,-0.002929688,-0.006835938,-0.002929688
4,-0.020507813,-0.01953125,-0.022460938,-0.024414063,-0.018554688,-0.01953125,-0.022460938,-0.022460938,-0.0234375,-0.020507813
5,-0.456054688,-0.447265625,-0.444335938,-0.444335938,-0.448242188,-0.436523438,-0.438476563,-0.456054688,-0.444335938,-0.456054688
6,-0.07421875,-0.068359375,-0.07421875,-0.077148438,-0.072265625,-0.07421875,-0.07421875,-0.072265625,-0.07421875,-0.071289063
7,0.009765625,0.009765625,0.006835938,0.005859375,0.008789063,0.004882813,0.004882813,0.010742188,0.006835938,0.01171875
8,-0.036132813,-0.033203125,-0.036132813,-0.040039063,-0.03515625,-0.036132813,-0.03515625,-0.038085938,-0.038085938,-0.03515625
9,-0.155273438,-0.151367188,-0.155273438,-0.157226563,-0.15625,-0.154296875,-0.157226563,-0.15625,-0.15625,-0.15625
10,-0.044921875,-0.038085938,-0.041992188,-0.045898438,-0.041015625,-0.04296875,-0.04296875,-0.041992188,-0.04296875,-0.041015625
11,0.033203125,0.036132813,0.032226563,0.030273438,0.034179688,0.028320313,0.03125,0.036132813,0.030273438,0.036132813
12,-0.01953125,-0.016601563,-0.018554688,-0.021484375,-0.017578125,-0.01953125,-0.018554688,-0.020507813,-0.018554688,-0.01953125
13,-0.155273438,-0.150390625,-0.154296875,-0.153320313,-0.155273438,-0.154296875,-0.155273438,-0.155273438,-0.155273438,-0.15625
14,-0.005859375,-0.002929688,-0.002929688,-0.004882813,-0.002929688,-0.00390625,-0.00390625,-0.002929688,-0.002929688,-0.00390625
15,0.07421875,0.077148438,0.075195313,0.075195313,0.077148438,0.075195313,0.076171875,0.078125,0.072265625,0.079101563
16,0.0234375,0.0234375,0.022460938,0.0234375,0.024414063,0.024414063,0.025390625,0.022460938,0.02734375,0.022460938
17,-0.100585938,-0.098632813,-0.102539063,-0.103515625,-0.100585938,-0.1015625,-0.102539063,-0.100585938,-0.1015625,-0.1015625
18,-0.064453125,-0.059570313,-0.061523438,-0.063476563,-0.061523438,-0.0625,-0.063476563,-0.059570313,-0.0625,-0.0625
19,0.022460938,0.02734375,0.022460938,0.01953125,0.024414063,0.020507813,0.022460938,0.02734375,0.01953125,0.02734375
20,-0.025390625,-0.020507813,-0.0234375,-0.0234375,-0.0234375,-0.0234375,-0.0234375,-0.025390625,-0.021484375,-0.0234375
21,-0.116210938,-0.112304688,-0.1171875,-0.119140625,-0.1171875,-0.115234375,-0.118164063,-0.120117188,-0.116210938,-0.116210938
22,0.01953125,0.0234375,0.021484375,0.020507813,0.022460938,0.020507813,0.0234375,0.021484375,0.021484375,0.022460938
23,0.08984375,0.09375,0.090820313,0.088867188,0.090820313,0.08984375,0.090820313,0.091796875,0.087890625,0.092773438
24,0.026367188,0.029296875,0.026367188,0.026367188,0.028320313,0.028320313,0.026367188,0.026367188,0.028320313,0.02734375
25,-0.115234375,-0.11328125,-0.1171875,-0.1171875,-0.116210938,-0.116210938,-0.118164063,-0.1171875,-0.116210938,-0.1171875
26,-0.037109375,-0.032226563,-0.036132813,-0.037109375,-0.033203125,-0.03515625,-0.03515625,-0.032226563,-0.036132813,-0.034179688
27,0.04296875,0.044921875,0.041015625,0.041015625,0.043945313,0.041015625,0.04296875,0.043945313,0.040039063,0.045898438
28,-0.010742188,-0.0078125,-0.010742188,-0.010742188,-0.008789063,-0.008789063,-0.009765625,-0.0078125,-0.009765625,-0.0078125
29,-0.13671875,-0.131835938,-0.134765625,-0.134765625,-0.134765625,-0.133789063,-0.135742188,-0.135742188,-0.1328125,-0.13671875
30,0.008789063,0.014648438,0.009765625,0.010742188,0.012695313,0.012695313,0.012695313,0.009765625,0.012695313,0.013671875
31,0.087890625,0.092773438,0.08984375,0.091796875,0.09375,0.090820313,0.092773438,0.094726563,0.08984375,0.096679688
32,0.032226563,0.037109375,0.034179688,0.03515625,0.036132813,0.037109375,0.038085938,0.03515625,0.037109375,0.038085938
33,-0.079101563,-0.075195313,-0.077148438,-0.078125,-0.079101563,-0.077148438,-0.077148438,-0.078125,-0.077148438,-0.077148438
34,-0.025390625,-0.021484375,-0.026367188,-0.026367188,-0.022460938,-0.024414063,-0.025390625,-0.024414063,-0.025390625,-0.024414063
35,0.048828125,0.0546875,0.05078125,0.051757813,0.051757813,0.047851563,0.051757813,0.055664063,0.048828125,0.0546875
36,-0.00390625,0,-0.002929688,-0.00390625,-0.00390625,-0.001953125,-0.001953125,-0.002929688,-0.001953125,-0.002929688
37,-0.122070313,-0.119140625,-0.12109375,-0.124023438,-0.123046875,-0.123046875,-0.124023438,-0.123046875,-0.123046875,-0.122070313
38,-0.016601563,-0.014648438,-0.016601563,-0.018554688,-0.014648438,-0.017578125,-0.015625,-0.015625,-0.015625,-0.014648438
39,0.057617188,0.05859375,0.055664063,0.0546875,0.056640625,0.0546875,0.056640625,0.061523438,0.055664063,0.059570313
40,-0.002929688,0,-0.000976563,-0.00390625,0,-0.001953125,-0.001953125,-0.001953125,-0.000976563,-0.000976563
41,-0.13671875,-0.1328125,-0.13671875,-0.139648438,-0.13671875,-0.137695313,-0.139648438,-0.137695313,-0.138671875,-0.13671875
42,-0.034179688,-0.032226563,-0.03515625,-0.034179688,-0.034179688,-0.03515625,-0.03515625,-0.034179688,-0.034179688,-0.033203125
43,0.041992188,0.041992188,0.038085938,0.0390625,0.041992188,0.037109375,0.040039063,0.041992188,0.0390625,0.045898438
44,-0.01171875,-0.010742188,-0.009765625,-0.012695313,-0.01171875,-0.01171875,-0.012695313,-0.012695313,-0.010742188,-0.010742188
45,-0.134765625,-0.131835938,-0.135742188,-0.13671875,-0.1328125,-0.134765625,-0.13671875,-0.137695313,-0.135742188,-0.134765625
46,0.008789063,0.01171875,0.009765625,0.01171875,0.013671875,0.010742188,0.01171875,0.012695313,0.010742188,0.013671875
47,0.092773438,0.092773438,0.092773438,0.091796875,0.094726563,0.09375,0.094726563,0.09375,0.092773438,0.096679688
48,0.034179688,0.037109375,0.036132813,0.037109375,0.038085938,0.036132813,0.036132813,0.03515625,0.037109375,0.037109375
49,-0.08203125,-0.081054688,-0.083984375,-0.086914063,-0.083007813,-0.08203125,-0.084960938,-0.083984375,-0.0859375,-0.083984375
